mu_freq_seq_r	mu_freq_seq_s	mu_freq_cdr1_r	mu_freq_cdr1_s	mu_freq_cdr2_r	mu_freq_cdr2_s	mu_freq_fwr1_r	mu_freq_fwr1_s	mu_freq_fwr2_r	mu_freq_fwr2_s	mu_freq_fwr3_r	mu_freq_fwr3_s
0.0056022408963585435	0.0028011204481792717	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403	0
0.011396011396011397	0.008547008547008548	0	0	0	0.041666666666666664	0	0	0.0196078431372549	0.0196078431372549	0.017857142857142856	0
0.011204481792717087	0.0028011204481792717	0.08333333333333333	0	0.041666666666666664	0	0	0	0.0196078431372549	0	0	0
0.010958904109589041	0.005479452054794521	0	0	0	0	0	0	0.0196078431372549	0.0196078431372549	0.008771929824561403	0
0.013850415512465374	0.008310249307479225	0	0	0.06666666666666667	0.03333333333333333	0	0	0	0	0.017543859649122806	0.008771929824561403
0.0027247956403269754	0.0027247956403269754	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403	0
0.014044943820224719	0.008426966292134831	0	0	0	0	0	0	0	0	0.02631578947368421	0.017543859649122806
0.011235955056179775	0.0056179775280898875	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664	0	0	0	0	0.017543859649122806	0
0.02197802197802198	0.008241758241758242	0.125	0	0.041666666666666664	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.008645533141210375	0.005763688760806916	0	0	0.041666666666666664	0	0	0	0.0196078431372549	0	0	0.008771929824561403
0.014450867052023121	0.005780346820809248	0.08333333333333333	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0.008771929824561403
0	0	0	0	0	0	0	0	0	0	0	0
0.013966480446927373	0.00558659217877095	0.041666666666666664	0	0	0	0	0	0.0392156862745098	0.0196078431372549	0.008771929824561403	0.008771929824561403
0.011267605633802818	0.0028169014084507044	0	0	0	0	0	0	0	0	0	0.008771929824561403
0.005763688760806916	0.002881844380403458	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0	0	0
0.005763688760806916	0	0.08333333333333333	0	0	0	0	0	0	0	0	0
0.011267605633802818	0.008450704225352112	0.1	0.03333333333333333	0.047619047619047616	0	0	0	0	0.0196078431372549	0	0.008771929824561403
0.011363636363636364	0.005681818181818182	0	0	0.041666666666666664	0.041666666666666664	0	0	0.0196078431372549	0	0.017543859649122806	0
0.00872093023255814	0.00872093023255814	0	0.03333333333333333	0.047619047619047616	0	0	0	0.0196078431372549	0.0196078431372549	0	0
